# Dataset Report: Modum (MOD)
# Coin Name: Modum
# Symbol: MOD
# Base Currency: BTC
# Approx Row Count: 1693
# Date Range: 2021-06-29 to 2026-02-15
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MOD, Volume_BTC
# Note: Launched 2017. Swiss IoT/Supply chain project. Legacy data paired with BTC.
# --------------------------------------------------
Date,open,high,low,close,Volume_MOD,Volume_BTC
2022-05-23,9.36e-06,9.75e-06,9.19e-06,9.68e-06,20176.15,0.1913
2022-05-24,9.68e-06,9.7e-06,8.57e-06,9.35e-06,25576.76,0.2317
2022-05-25,9.35e-06,9.35e-06,9.01e-06,9.2e-06,4404.6,0.0404
2022-05-26,9.2e-06,9.37e-06,8.58e-06,8.58e-06,7618.35,0.06839
2022-05-27,8.58e-06,8.65e-06,7.95e-06,8.02e-06,6996.81,0.0573
2022-05-28,8.02e-06,8.03e-06,7.51e-06,7.51e-06,8158.51,0.06327
2022-05-29,7.51e-06,7.64e-06,7.29e-06,7.4e-06,14004.36,0.1049
2022-05-30,7.4e-06,7.8e-06,7.4e-06,7.48e-06,21042.62,0.1602
2022-05-31,7.48e-06,7.68e-06,7.43e-06,7.48e-06,9416.97,0.07108
2022-06-01,7.48e-06,1.071e-05,7.34e-06,7.51e-06,58200.84,0.4908
2022-06-02,7.51e-06,7.55e-06,7.16e-06,7.38e-06,12493.74,0.09169
2022-06-03,7.38e-06,7.64e-06,7.3e-06,7.64e-06,11718.69,0.0872
2022-06-04,7.64e-06,7.66e-06,7.47e-06,7.49e-06,4519.98,0.03402
2022-06-05,7.49e-06,7.87e-06,7.46e-06,7.7e-06,7836.98,0.06038
2022-06-06,7.7e-06,7.82e-06,7.49e-06,7.59e-06,11418.06,0.08726
2022-06-07,7.59e-06,7.96e-06,7.44e-06,7.47e-06,20282.2,0.1566
2022-06-08,7.47e-06,1.071e-05,7.39e-06,8.47e-06,178204.28,1.569
2022-06-09,8.47e-06,8.94e-06,8.29e-06,8.4e-06,28498.67,0.2443
2022-06-10,8.4e-06,8.44e-06,7.97e-06,7.98e-06,38028.29,0.3148
2022-06-11,7.98e-06,8.29e-06,7.76e-06,8.06e-06,16268.78,0.1312
2022-06-12,8.06e-06,8.35e-06,8.02e-06,8.35e-06,15752.28,0.1291
2022-06-13,8.35e-06,9.74e-06,8.23e-06,9.61e-06,58969.5,0.5195
2022-06-14,9.61e-06,1.052e-05,9.33e-06,1.032e-05,43622.57,0.4249
2022-06-15,1.032e-05,2.383e-05,1.017e-05,1.193e-05,162304.71,2.021
2022-06-16,1.193e-05,1.265e-05,1.1e-05,1.136e-05,34662.6,0.4036
2022-06-17,1.136e-05,1.195e-05,1.09e-05,1.113e-05,19161.84,0.2176
2022-06-18,1.113e-05,2.296e-05,1.096e-05,1.188e-05,222350.99,3.107
2022-06-19,1.188e-05,1.333e-05,1.128e-05,1.28e-05,77881.27,0.9507
2022-06-20,1.28e-05,1.333e-05,1.148e-05,1.245e-05,76591.61,0.9459
2022-06-21,1.245e-05,1.271e-05,1.207e-05,1.249e-05,19717.06,0.2439
2022-06-22,1.249e-05,1.294e-05,1.223e-05,1.281e-05,13079.15,0.1648
2022-06-23,1.281e-05,1.311e-05,1.237e-05,1.311e-05,10706.75,0.1361
2022-06-24,1.311e-05,1.452e-05,1.305e-05,1.447e-05,18634.22,0.2561
2022-06-25,1.447e-05,1.455e-05,1.339e-05,1.385e-05,13699.6,0.189
2022-06-26,1.385e-05,1.414e-05,1.366e-05,1.406e-05,5668.35,0.0787
2022-06-27,1.406e-05,1.412e-05,1.35e-05,1.353e-05,4875.8,0.06691
2022-06-28,1.353e-05,1.356e-05,1.273e-05,1.289e-05,6730.16,0.08759
2022-06-29,1.289e-05,1.311e-05,1.273e-05,1.284e-05,4387.45,0.05691
2022-06-30,1.284e-05,1.332e-05,1.217e-05,1.26e-05,13772.61,0.1756
2022-07-01,1.26e-05,1.319e-05,1.217e-05,1.247e-05,20417.57,0.2584
2022-07-02,1.247e-05,1.268e-05,1.238e-05,1.268e-05,5106.3,0.06403
2022-07-03,1.268e-05,1.289e-05,1.203e-05,1.236e-05,17575.06,0.2191
2022-07-04,1.236e-05,1.291e-05,1.211e-05,1.258e-05,7779.5,0.09687
2022-07-05,1.258e-05,1.302e-05,1.247e-05,1.278e-05,7053.59,0.08982
2022-07-06,1.278e-05,1.298e-05,1.228e-05,1.243e-05,7904.18,0.0996
2022-07-07,1.243e-05,1.291e-05,1.216e-05,1.227e-05,13383.87,0.1668
2022-07-08,1.227e-05,1.26e-05,1.207e-05,1.26e-05,10105.1,0.1246
2022-07-09,1.26e-05,1.292e-05,1.257e-05,1.268e-05,4886.98,0.06227
2022-07-10,1.268e-05,1.312e-05,1.258e-05,1.274e-05,7791.13,0.09998
2022-07-11,1.274e-05,1.282e-05,1.211e-05,1.249e-05,13022.76,0.1618
2022-07-12,1.249e-05,1.261e-05,1.229e-05,1.229e-05,4450.71,0.05542
2022-07-13,1.229e-05,1.229e-05,1.18e-05,1.201e-05,8063.91,0.09707
2022-07-14,1.201e-05,1.273e-05,1.19e-05,1.267e-05,9775.69,0.1199
2022-07-15,1.267e-05,1.874e-05,1.217e-05,1.361e-05,50861.6,0.7348
2022-07-16,1.361e-05,1.378e-05,1.263e-05,1.34e-05,25131.8,0.3284
2022-07-17,1.34e-05,1.344e-05,1.291e-05,1.316e-05,5767.85,0.07611
2022-07-18,1.316e-05,1.485e-05,1.283e-05,1.341e-05,37393.82,0.5131
2022-07-19,1.341e-05,1.386e-05,1.249e-05,1.273e-05,14205.62,0.1862
2022-07-20,1.273e-05,1.283e-05,1.232e-05,1.25e-05,5336.11,0.06678
2022-07-21,1.25e-05,1.268e-05,1.22e-05,1.253e-05,7066.08,0.08778
2022-07-22,1.253e-05,1.295e-05,1.249e-05,1.268e-05,6007.43,0.07646
2022-07-23,1.268e-05,1.293e-05,1.248e-05,1.248e-05,5435.93,0.06929
2022-07-24,1.248e-05,1.279e-05,1.221e-05,1.25e-05,6245.48,0.07816
2022-07-25,1.25e-05,1.288e-05,1.227e-05,1.262e-05,7222.75,0.09093
2022-07-26,1.262e-05,1.28e-05,1.26e-05,1.261e-05,3615.76,0.0458
2022-07-27,1.261e-05,1.355e-05,1.254e-05,1.313e-05,9367.95,0.1223
2022-07-28,1.313e-05,1.332e-05,1.249e-05,1.256e-05,5824.36,0.07471
2022-07-29,1.256e-05,1.284e-05,1.242e-05,1.253e-05,6528.15,0.08211
2022-07-30,1.253e-05,1.257e-05,1.21e-05,1.249e-05,3256.44,0.04018
2022-07-31,1.249e-05,1.253e-05,1.202e-05,1.212e-05,4072.69,0.04987
2022-08-01,1.212e-05,1.268e-05,1.208e-05,1.249e-05,16066.92,0.1978
2022-08-02,1.249e-05,1.253e-05,1.134e-05,1.165e-05,11112.96,0.131
2022-08-03,1.165e-05,1.176e-05,1.121e-05,1.121e-05,6779.36,0.07743
2022-08-04,1.121e-05,1.154e-05,1.108e-05,1.142e-05,5743.69,0.06497
2022-08-05,1.142e-05,1.18e-05,1.129e-05,1.18e-05,9225.18,0.1067
2022-08-06,1.18e-05,1.202e-05,1.168e-05,1.188e-05,2881.86,0.03414
2022-08-07,1.188e-05,1.228e-05,1.168e-05,1.207e-05,4558.51,0.05449
2022-08-08,1.207e-05,1.207e-05,1.158e-05,1.201e-05,5185.68,0.06148
2022-08-09,1.201e-05,1.232e-05,1.188e-05,1.216e-05,4719.05,0.05698
2022-08-10,1.216e-05,1.231e-05,1.168e-05,1.178e-05,6753.13,0.08075
2022-08-11,1.178e-05,1.214e-05,1.158e-05,1.21e-05,7816.07,0.09212
2022-08-12,1.21e-05,1.574e-05,1.206e-05,1.461e-05,56189.35,0.7966
2022-08-13,1.461e-05,1.476e-05,1.353e-05,1.358e-05,22476.54,0.3172
2022-08-14,1.358e-05,1.358e-05,1.284e-05,1.313e-05,9408.61,0.1234
2022-08-15,1.313e-05,1.344e-05,1.283e-05,1.301e-05,13422.17,0.1769
2022-08-16,1.301e-05,1.352e-05,1.296e-05,1.352e-05,3300.16,0.04367
2022-08-17,1.352e-05,1.353e-05,1.311e-05,1.35e-05,5026.72,0.06714
2022-08-18,1.35e-05,1.405e-05,1.335e-05,1.398e-05,9181.4,0.1258
2022-08-19,1.398e-05,1.473e-05,1.394e-05,1.42e-05,8944.16,0.128
2022-08-20,1.42e-05,1.42e-05,1.333e-05,1.344e-05,9503.01,0.1309
2022-08-21,1.344e-05,1.386e-05,1.305e-05,1.356e-05,12973.99,0.1749
2022-08-22,1.356e-05,1.397e-05,1.341e-05,1.38e-05,10023.92,0.1371
2022-08-23,1.38e-05,1.388e-05,1.353e-05,1.379e-05,7083.13,0.09694
2022-08-24,1.379e-05,1.473e-05,1.356e-05,1.403e-05,12651.58,0.1774
2022-08-25,1.403e-05,1.431e-05,1.361e-05,1.361e-05,11373.6,0.1581
2022-08-26,1.361e-05,1.418e-05,1.331e-05,1.364e-05,11170.84,0.1528
2022-08-27,1.364e-05,1.406e-05,1.341e-05,1.4e-05,8165.09,0.112
2022-08-28,1.4e-05,1.444e-05,1.4e-05,1.429e-05,5263.32,0.07484
2022-08-29,1.429e-05,1.654e-05,1.382e-05,1.565e-05,17965.23,0.2691
2022-08-30,1.565e-05,1.626e-05,1.513e-05,1.553e-05,10520.01,0.164
2022-08-31,1.553e-05,1.561e-05,1.513e-05,1.537e-05,5824.7,0.08964
2022-09-01,1.537e-05,1.682e-05,1.53e-05,1.631e-05,13579.35,0.2186
2022-09-02,1.631e-05,2.339e-05,1.631e-05,1.911e-05,71166.44,1.439
2022-09-03,1.911e-05,2.019e-05,1.894e-05,1.911e-05,7622.56,0.1483
2022-09-04,1.911e-05,2.036e-05,1.907e-05,1.988e-05,10746.29,0.2113
2022-09-05,1.988e-05,2.054e-05,1.986e-05,2.023e-05,2266.44,0.04602
2022-09-06,2.023e-05,2.122e-05,1.986e-05,2.075e-05,9406.5,0.1926
2022-09-07,2.075e-05,2.089e-05,1.869e-05,2.019e-05,17419.41,0.3403
2022-09-08,2.019e-05,2.023e-05,1.9e-05,1.901e-05,2794.55,0.05459
2022-09-09,1.901e-05,1.901e-05,1.695e-05,1.695e-05,6920.83,0.1239
2022-09-10,1.695e-05,1.786e-05,1.695e-05,1.721e-05,4252.09,0.07374
2022-09-11,1.721e-05,1.74e-05,1.601e-05,1.638e-05,9100.87,0.1508
2022-09-12,1.638e-05,1.653e-05,1.604e-05,1.617e-05,4863.69,0.07918
2022-09-13,1.617e-05,1.668e-05,1.554e-05,1.629e-05,12707.95,0.2045
2022-09-14,1.629e-05,1.726e-05,1.568e-05,1.637e-05,15341.71,0.251
2022-09-15,1.637e-05,1.657e-05,1.485e-05,1.49e-05,12896.6,0.1988
2022-09-16,1.49e-05,1.49e-05,1.398e-05,1.403e-05,7510.35,0.1084
2022-09-17,1.403e-05,1.403e-05,1.315e-05,1.315e-05,5102.53,0.06908
2022-09-18,1.315e-05,1.331e-05,1.284e-05,1.284e-05,3607.63,0.04704
2022-09-19,1.284e-05,1.305e-05,1.263e-05,1.282e-05,8703.41,0.1118
2022-09-20,1.282e-05,1.337e-05,1.282e-05,1.328e-05,4706.48,0.0617
2022-09-21,1.328e-05,1.389e-05,1.259e-05,1.26e-05,23975.11,0.3113
2022-09-22,1.26e-05,1.274e-05,1.238e-05,1.245e-05,5165.09,0.06487
2022-09-23,1.245e-05,1.298e-05,1.245e-05,1.248e-05,4859.1,0.06192
2022-09-24,1.248e-05,1.267e-05,1.248e-05,1.264e-05,1396.51,0.01754
2022-09-25,1.264e-05,1.273e-05,1.249e-05,1.249e-05,2769.2,0.03498
2022-09-26,1.249e-05,1.253e-05,1.227e-05,1.253e-05,3664.73,0.04548
2022-09-27,1.253e-05,1.26e-05,1.188e-05,1.227e-05,7727.69,0.09455
2022-09-28,1.227e-05,1.274e-05,1.177e-05,1.208e-05,12774.1,0.156
2022-09-29,1.208e-05,1.229e-05,1.189e-05,1.195e-05,4532.23,0.05479
2022-09-30,1.195e-05,1.227e-05,1.171e-05,1.197e-05,6674.7,0.08
2022-10-01,1.197e-05,1.232e-05,1.171e-05,1.178e-05,6287.1,0.07538
2022-10-02,1.178e-05,1.19e-05,1.155e-05,1.175e-05,3463.08,0.0406
2022-10-03,1.175e-05,1.177e-05,1.148e-05,1.171e-05,3011.06,0.03504
2022-10-04,1.171e-05,1.237e-05,1.161e-05,1.237e-05,11808.52,0.1428
2022-10-05,1.237e-05,1.243e-05,1.193e-05,1.2e-05,4565.0,0.0553
2022-10-06,1.2e-05,1.243e-05,1.198e-05,1.217e-05,3601.02,0.04399
2022-10-07,1.217e-05,1.227e-05,1.199e-05,1.217e-05,2536.93,0.03081
2022-10-08,1.217e-05,1.219e-05,1.189e-05,1.202e-05,1509.12,0.01816
2022-10-09,1.202e-05,1.237e-05,1.193e-05,1.208e-05,3794.29,0.04618
2022-10-10,1.208e-05,1.239e-05,1.191e-05,1.191e-05,3581.24,0.04369
2022-10-11,1.191e-05,1.217e-05,1.177e-05,1.213e-05,2649.96,0.03171
2022-10-12,1.213e-05,1.246e-05,1.199e-05,1.229e-05,3832.92,0.04681
2022-10-13,1.229e-05,1.24e-05,1.169e-05,1.181e-05,6991.51,0.08448
2022-10-14,1.181e-05,1.227e-05,1.161e-05,1.187e-05,6298.12,0.07501
2022-10-15,1.187e-05,1.19e-05,1.177e-05,1.182e-05,926.13,0.01094
2022-10-16,1.182e-05,1.208e-05,1.111e-05,1.131e-05,9042.71,0.1042
2022-10-17,1.131e-05,1.136e-05,1.112e-05,1.117e-05,1712.43,0.01923
2022-10-18,1.117e-05,1.199e-05,1.104e-05,1.113e-05,24875.31,0.2865
2022-10-19,1.113e-05,1.158e-05,1.093e-05,1.11e-05,10891.41,0.1216
2022-10-20,1.11e-05,1.137e-05,1.09e-05,1.137e-05,6124.6,0.06824
