# Dataset Report: Enjin Coin (ENJ)
# Coin Name: Enjin Coin
# Symbol: ENJ
# Approx Row Count: 3028
# Date Range: 2017-11-01 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_ENJ, Volume_USD
# Note: Gaming & NFT ecosystem token (ERC-1155 pioneer). Migrated to Enjin Blockchain late 2023.
# --------------------------------------------------
Date,open,high,low,close,Volume_ENJ,Volume_USD
2024-11-11,0.1666,0.1744,0.1618,0.1743,2020760.32,342630.42
2024-11-12,0.1743,0.1829,0.1562,0.1679,2314204.4,391032.81
2024-11-13,0.1679,0.1699,0.1518,0.159,1820315.86,289110.21
2024-11-14,0.159,0.1651,0.1515,0.1539,905539.07,142956.69
2024-11-15,0.1539,0.1627,0.1481,0.1618,1489627.53,232507.96
2024-11-16,0.1618,0.1899,0.1611,0.186,2517192.98,448992.55
2024-11-17,0.186,0.186,0.17,0.1737,1121804.29,198684.3
2024-11-18,0.1737,0.2444,0.1721,0.2102,9126168.13,1926744.19
2024-11-19,0.2102,0.2171,0.194,0.199,2467008.93,505239.6
2024-11-20,0.199,0.2013,0.1855,0.1933,1434824.07,279240.29
2024-11-21,0.1933,0.2039,0.1848,0.2001,1755478.32,345423.14
2024-11-22,0.2001,0.2101,0.1922,0.2093,1729540.87,346976.13
2024-11-23,0.2093,0.2445,0.2072,0.2399,3308163.98,752386.54
2024-11-24,0.2399,0.3146,0.238,0.3031,9560652.97,2658706.24
2024-11-25,0.3031,0.3052,0.2681,0.274,4370545.59,1230534.12
2024-11-26,0.274,0.289,0.2541,0.2681,1995624.44,539451.04
2024-11-27,0.2681,0.2908,0.2611,0.2868,1524013.8,425904.0
2024-11-28,0.2868,0.3038,0.2744,0.295,1097259.98,312657.84
2024-11-29,0.295,0.3058,0.2801,0.303,2015732.35,597124.38
2024-11-30,0.303,0.3569,0.2956,0.33,4092591.12,1334303.71
2024-12-01,0.33,0.335,0.31,0.3259,2417933.76,784727.19
2024-12-02,0.3259,0.3383,0.3005,0.3339,4119952.43,1309076.17
2024-12-03,0.3339,0.354,0.3134,0.3521,3755473.38,1270770.94
2024-12-04,0.3521,0.3969,0.3441,0.3769,4873061.86,1805209.31
2024-12-05,0.3769,0.3949,0.3565,0.3778,4582458.53,1713486.19
2024-12-06,0.3778,0.3861,0.3519,0.3798,2995933.38,1117323.16
2024-12-07,0.3798,0.3836,0.3609,0.366,1323343.42,490794.52
2024-12-08,0.366,0.3689,0.3552,0.3645,2152271.58,776803.02
2024-12-09,0.3645,0.3645,0.2513,0.2881,5365337.5,1665612.18
2024-12-10,0.2881,0.294,0.2471,0.2756,3139737.1,860097.92
2024-12-11,0.2756,0.3094,0.2637,0.3011,2226709.46,648222.39
2024-12-12,0.3011,0.3548,0.2991,0.3278,4714146.29,1561799.0
2024-12-13,0.3278,0.3322,0.3118,0.3242,1372747.24,443251.28
2024-12-14,0.3242,0.3264,0.2931,0.302,1604422.5,488235.38
2024-12-15,0.302,0.308,0.288,0.3035,1104480.28,330134.2
2024-12-16,0.3035,0.3109,0.2822,0.2925,962803.3,284743.17
2024-12-17,0.2925,0.2948,0.271,0.2747,1554965.79,442630.16
2024-12-18,0.2747,0.277,0.2425,0.2451,2222505.01,584579.27
2024-12-19,0.2451,0.2526,0.2129,0.2227,2301598.25,541552.6
2024-12-20,0.2227,0.232,0.187,0.2293,2484269.18,524430.67
2024-12-21,0.2293,0.247,0.2153,0.2188,1088236.04,249411.29
2024-12-22,0.2188,0.2251,0.2082,0.2141,717804.91,155467.37
2024-12-23,0.2141,0.2428,0.209,0.237,906998.51,203633.86
2024-12-24,0.237,0.2499,0.228,0.247,1060923.98,251949.45
2024-12-25,0.247,0.2486,0.2351,0.2375,688926.01,165277.4
2024-12-26,0.2375,0.24,0.2152,0.2179,1000509.55,223057.89
2024-12-27,0.2179,0.233,0.216,0.22,1201698.44,269112.18
2024-12-28,0.22,0.2328,0.219,0.23,944533.98,214799.91
2024-12-29,0.23,0.2339,0.216,0.2181,321201.68,71890.81
2024-12-30,0.2181,0.226,0.2071,0.2165,931824.78,203660.52
2024-12-31,0.2165,0.2201,0.2082,0.209,612637.17,130151.05
2025-01-01,0.209,0.2194,0.2041,0.2172,493017.53,104943.72
2025-01-02,0.2172,0.2301,0.2172,0.2251,835078.08,187822.85
2025-01-03,0.2251,0.246,0.222,0.2442,950971.23,221509.98
2025-01-04,0.2442,0.2497,0.2401,0.2429,831829.15,204054.14
2025-01-05,0.2429,0.2479,0.2368,0.2443,733990.43,177913.49
2025-01-06,0.2443,0.255,0.2391,0.2491,1131100.91,278990.84
2025-01-07,0.2491,0.2518,0.2204,0.2208,787331.67,187494.85
2025-01-08,0.2208,0.2228,0.1971,0.21,719513.97,151929.1
2025-01-09,0.21,0.2127,0.195,0.2,2138555.36,433276.98
2025-01-10,0.2,0.2099,0.1951,0.203,2230268.12,446298.63
2025-01-11,0.203,0.2101,0.199,0.205,750117.66,151302.28
2025-01-12,0.205,0.2233,0.1969,0.1981,500138.96,101376.1
2025-01-13,0.1981,0.205,0.1761,0.191,2118360.91,393135.11
2025-01-14,0.191,0.203,0.1896,0.2009,853542.03,165320.5
2025-01-15,0.2009,0.2146,0.1927,0.2131,1559229.63,321219.31
2025-01-16,0.2131,0.2143,0.2009,0.2037,1123175.78,233460.22
2025-01-17,0.2037,0.2191,0.2023,0.217,1997852.63,426559.31
2025-01-18,0.217,0.2192,0.1904,0.1959,2319588.43,464525.9
2025-01-19,0.1959,0.2008,0.1689,0.1721,2680458.47,505648.03
2025-01-20,0.1721,0.1861,0.1624,0.168,3581545.32,616893.84
2025-01-21,0.168,0.1759,0.1598,0.1728,3192399.41,534687.29
2025-01-22,0.1728,0.1764,0.1672,0.168,1310063.83,226731.79
2025-01-23,0.168,0.1718,0.1616,0.1691,734458.48,122075.04
2025-01-24,0.1691,0.1718,0.162,0.1629,1293218.1,217626.87
2025-01-25,0.1629,0.1673,0.1608,0.1634,1208704.73,198100.99
2025-01-26,0.1634,0.1707,0.1578,0.1579,1991185.92,332206.54
2025-01-27,0.1579,0.1579,0.1405,0.1534,4524824.31,691505.89
2025-01-28,0.1534,0.1799,0.1382,0.1389,904148.29,134389.37
2025-01-29,0.1389,0.1499,0.1381,0.1451,2119794.99,301072.27
2025-01-30,0.1451,0.1582,0.144,0.1521,1191740.14,183992.05
2025-01-31,0.1521,0.1721,0.1491,0.1531,1520264.07,234443.74
2025-02-01,0.1531,0.1567,0.143,0.1437,1096505.32,167217.26
2025-02-02,0.1437,0.1469,0.1149,0.1221,2891150.21,386006.91
2025-02-03,0.1221,0.1279,0.0932,0.1258,3940163.33,424889.42
2025-02-04,0.1258,0.1279,0.112,0.1189,3311265.41,394416.86
2025-02-05,0.1189,0.1325,0.1161,0.121,1555111.19,194122.3
2025-02-06,0.121,0.1235,0.1123,0.1131,1486519.48,178038.66
2025-02-07,0.1131,0.1249,0.1126,0.116,2093064.48,246919.65
2025-02-08,0.116,0.1208,0.1103,0.1199,1348790.52,156243.1
2025-02-09,0.1199,0.1229,0.112,0.1177,469471.3,55619.76
2025-02-10,0.1177,0.123,0.1126,0.1211,1267014.72,149370.12
2025-02-11,0.1211,0.1321,0.1201,0.1214,630805.66,80988.15
2025-02-12,0.1214,0.1328,0.1179,0.131,1410166.19,180275.27
2025-02-13,0.131,0.1322,0.122,0.1241,1203374.07,152132.53
2025-02-14,0.1241,0.1311,0.1232,0.128,1473054.9,187821.54
2025-02-15,0.128,0.129,0.123,0.1251,171113.24,21596.07
2025-02-16,0.1251,0.1272,0.121,0.1216,1176030.16,146312.83
2025-02-17,0.1216,0.1259,0.118,0.1219,1845781.89,225276.54
2025-02-18,0.1219,0.1219,0.1103,0.1159,1476961.7,172100.94
2025-02-19,0.1159,0.1219,0.115,0.1207,423257.05,50743.61
2025-02-20,0.1207,0.1281,0.1203,0.125,895503.94,111215.89
2025-02-21,0.125,0.1301,0.118,0.119,1458311.94,183997.07
2025-02-22,0.119,0.125,0.118,0.1249,267198.87,32640.46
2025-02-23,0.1249,0.125,0.1191,0.121,893014.56,108754.99
2025-02-24,0.121,0.121,0.1045,0.1052,1248483.61,140644.95
2025-02-25,0.1052,0.1119,0.1014,0.11,3655224.59,394589.29
2025-02-26,0.11,0.1148,0.1079,0.1107,490684.05,54630.85
2025-02-27,0.1107,0.1176,0.1102,0.113,1919938.02,218293.86
2025-02-28,0.113,0.1146,0.1038,0.1139,1420240.19,156909.78
2025-03-01,0.1139,0.114,0.1079,0.11,669403.88,73555.04
2025-03-02,0.11,0.1219,0.109,0.121,824331.86,95027.79
2025-03-03,0.121,0.1219,0.1012,0.1028,791396.72,86748.64
2025-03-04,0.1028,0.103,0.09396,0.101,2352280.96,230435.8
2025-03-05,0.101,0.1051,0.09988,0.105,1260754.29,129871.92
2025-03-06,0.105,0.107,0.1,0.1013,1080256.63,113220.49
2025-03-07,0.1013,0.1062,0.0969,0.1011,1290430.06,132410.65
2025-03-08,0.1011,0.102,0.099,0.09983,1101239.63,110453.84
2025-03-09,0.09983,0.1,0.08792,0.08899,1384245.32,128629.08
2025-03-10,0.08899,0.095,0.08304,0.08499,4325725.56,387857.82
2025-03-11,0.08499,0.09204,0.07899,0.09094,3119979.15,274192.23
2025-03-12,0.09094,0.09306,0.08693,0.09111,4302784.47,385893.65
2025-03-13,0.09111,0.09633,0.087,0.08801,2698142.91,241394.91
2025-03-14,0.08801,0.09299,0.08801,0.09098,2021673.42,184297.37
2025-03-15,0.09098,0.093,0.09,0.09203,1515437.14,138879.74
2025-03-16,0.09203,0.09206,0.08682,0.08702,1846835.93,166969.05
2025-03-17,0.08702,0.093,0.08616,0.09198,1894412.48,168553.63
2025-03-18,0.09198,0.09283,0.0872,0.09208,874507.63,78411.55
2025-03-19,0.09208,0.09574,0.09126,0.09506,1648927.94,154575.1
2025-03-20,0.09506,0.09511,0.08991,0.09001,1721286.01,159561.48
2025-03-21,0.09001,0.09104,0.08806,0.08987,1739981.12,156168.98
2025-03-22,0.08987,0.1075,0.08902,0.09123,1430009.61,130727.45
2025-03-23,0.09123,0.09281,0.08994,0.091,1727175.76,157226.04
2025-03-24,0.091,0.1012,0.09004,0.0969,3352888.47,319314.29
2025-03-25,0.0969,0.1,0.095,0.09982,1443692.36,141426.83
2025-03-26,0.09982,0.102,0.09531,0.09606,1484917.06,146205.54
2025-03-27,0.09606,0.09904,0.09396,0.09508,1417209.18,136321.1
2025-03-28,0.09508,0.1026,0.086,0.08806,1144861.57,102971.54
2025-03-29,0.08806,0.0889,0.081,0.08296,1467345.42,122792.53
2025-03-30,0.08296,0.08528,0.081,0.083,2172289.48,182070.33
2025-03-31,0.083,0.08301,0.07905,0.08097,3012612.19,244499.22
2025-04-01,0.08097,0.08302,0.08,0.08197,3449462.81,281480.33
2025-04-02,0.08197,0.08198,0.07205,0.07306,3213563.87,252088.98
2025-04-03,0.07306,0.07601,0.071,0.07462,2059557.93,151645.71
2025-04-04,0.07462,0.07509,0.07004,0.0736,2316155.48,169257.89
2025-04-05,0.0736,0.07434,0.071,0.073,1925046.42,140507.17
2025-04-06,0.073,0.07306,0.06302,0.06496,1629086.17,111089.6
2025-04-07,0.06496,0.06905,0.05906,0.06687,2261291.88,147603.5
2025-04-08,0.06687,0.0937,0.06231,0.06279,3115033.9,205473.19
2025-04-09,0.06279,0.06927,0.06061,0.06862,6346075.47,423072.67
2025-04-10,0.06862,0.06871,0.06339,0.06489,1244655.11,81694.92
2025-04-11,0.06489,0.06778,0.06437,0.06601,872843.55,57786.08
2025-04-12,0.06601,0.0693,0.0652,0.06911,3056252.06,205978.15
2025-04-13,0.06911,0.06911,0.06286,0.06376,2304140.7,153339.0
2025-04-14,0.06376,0.06578,0.063,0.0632,2048109.44,131566.48
2025-04-15,0.0632,0.07647,0.0609,0.0612,979492.2,63774.17
2025-04-16,0.0612,0.07155,0.05928,0.05992,591440.65,35888.85
2025-04-17,0.05992,0.07773,0.0594,0.06101,1988652.87,123821.63
2025-04-18,0.06101,0.06433,0.06059,0.06248,1496964.21,93487.55
2025-04-19,0.06248,0.09795,0.06248,0.06664,943937.71,64977.06
2025-04-20,0.06664,0.1149,0.06569,0.08858,10026423.56,878487.85
2025-04-21,0.08858,0.1182,0.08507,0.09181,19659767.92,1971326.27
2025-04-22,0.09181,0.09724,0.08467,0.08882,8205580.0,735211.81
2025-04-23,0.08882,0.09278,0.08635,0.08734,1986404.68,176771.77
2025-04-24,0.08734,0.09273,0.08503,0.0916,3016500.38,269604.69
2025-04-25,0.0916,0.09271,0.08841,0.09002,1590634.05,144887.42
2025-04-26,0.09002,0.0946,0.08895,0.0905,3509950.29,321821.35
2025-04-27,0.0905,0.09076,0.08346,0.08459,2047179.58,174235.23
2025-04-28,0.08459,0.08701,0.0819,0.08696,3894503.14,329015.1
2025-04-29,0.08696,0.08811,0.081,0.08248,514791.62,44053.59
2025-04-30,0.08248,0.08562,0.08144,0.0848,1280270.28,109008.28
2025-05-01,0.0848,0.09357,0.08408,0.08469,425564.81,36504.38
2025-05-02,0.08469,0.08609,0.08264,0.08417,2703853.87,226720.11
2025-05-03,0.08417,0.08438,0.0764,0.07652,1002181.62,79586.13
2025-05-04,0.07652,0.07652,0.07311,0.07537,602251.63,44812.86
2025-05-05,0.07537,0.07679,0.07211,0.0736,1434879.44,105381.94
2025-05-06,0.0736,0.07563,0.0701,0.07421,1560612.84,116609.05
2025-05-07,0.07421,0.0912,0.07128,0.07294,4592698.22,353671.86
2025-05-08,0.07294,0.09842,0.07271,0.08321,1510951.29,117550.65
2025-05-09,0.08321,0.09207,0.07037,0.0919,5778829.91,507879.81
2025-05-10,0.0919,0.1024,0.09151,0.1004,1738894.24,168289.82
2025-05-11,0.1004,0.1016,0.09388,0.09611,2772445.71,267702.15
2025-05-12,0.09611,0.1,0.09082,0.0973,2223113.63,216746.28
2025-05-13,0.0973,0.101,0.08944,0.0997,3529206.96,336786.22
