# Dataset Report: FUNToken (FUN)
# Coin Name: FUNToken
# Symbol: FUN
# Approx Row Count: 3570
# Date Range: 2016-05-08 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_FUN, Volume_USD
# Note: Launched June 2017. Native token for the decentralized iGaming ecosystem.
# --------------------------------------------------
Date,open,high,low,close,Volume_FUN,Volume_USD
2017-02-21,0.002284,0.003335,0.002361,0.003335,138644.2,462.34
2017-02-22,0.003335,0.00335,0.002241,0.002241,138081.34,309.43
2017-02-23,0.002241,0.002379,0.002203,0.002227,183657.92,408.94
2017-02-24,0.002227,0.002694,0.002235,0.002694,100000.0,269.42
2017-02-25,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2017-02-26,0.002631,0.002824,0.002343,0.002824,10382.42,29.31
2017-02-27,0.002824,0.002865,0.002378,0.002758,125925.37,347.31
2017-02-28,0.002758,0.002759,0.00264,0.00264,130000.0,343.22
2017-03-01,0.00264,0.002751,0.002323,0.002604,149362.58,388.98
2017-03-02,0.002604,0.002674,0.002335,0.002674,98999.99,264.74
2017-03-03,0.002674,0.003131,0.002733,0.003131,16180.94,50.67
2017-03-04,0.003131,0.003085,0.002352,0.002718,144641.84,393.18
2017-03-05,0.002718,0.002733,0.002695,0.002695,103501.74,278.94
2017-03-06,0.002695,0.002797,0.002707,0.002797,85546.45,239.24
2017-03-07,0.002797,0.0027,0.002675,0.002675,111101.89,297.19
2017-03-08,0.002675,0.002695,0.002099,0.002099,95084.25,199.58
2017-03-09,0.002099,0.002454,0.001465,0.002454,115048.98,282.35
2017-03-10,0.002454,0.002292,0.002258,0.002258,492729.7,1112.66
2017-03-11,0.002258,0.002394,0.002299,0.002299,212556.54,488.77
2017-03-12,0.002299,0.002389,0.002266,0.002266,194818.37,441.55
2017-03-13,0.002266,0.002291,0.002204,0.002204,99999.99,220.4
2017-03-14,0.002204,0.002213,0.001591,0.0022,77830.07,171.25
2017-03-15,0.0022,0.002219,0.001542,0.001542,95774.49,147.66
2017-03-16,0.001542,0.001841,0.001431,0.00183,219378.69,401.4
2017-03-17,0.00183,0.001897,0.00135,0.001436,143322.34,205.82
2017-03-18,0.001436,0.001661,0.001292,0.001292,147572.66,190.65
2017-03-19,0.00416,0.16,0.00416,0.16,5003.0,21.44
2017-03-20,0.16,0.16,0.00316,0.00316,1707.31,7.011
2017-03-21,0.002294,0.00314,0.001133,0.002927,178564.9,522.58
2017-03-22,0.00316,0.00316,0.00316,0.00316,257.92,0.815
2017-03-23,0.00187,0.001853,0.0007763,0.001563,150624.12,235.41
2017-03-24,0.001563,0.001738,0.001419,0.001738,22642.02,39.36
2017-03-25,0.001738,0.001836,0.0008117,0.0008117,208012.06,168.84
2017-03-26,0.0008117,0.001755,0.0008143,0.001755,71493.3,125.45
2017-03-27,0.001755,0.001892,0.0007734,0.001348,132455.08,178.58
2017-03-28,0.001348,0.001347,0.001274,0.001274,133333.0,169.89
2017-03-29,0.00316,0.00316,0.0009416,0.0009416,863.27,0.8129
2017-03-30,0.0009416,0.0009416,0.0007046,0.0007046,5719.62,5.254
2017-03-31,0.0007046,0.0007046,0.0007046,0.0007046,0.0,0.0
2017-04-01,0.0007046,0.0007046,0.0007046,0.0007046,968.49,0.6824
2017-04-02,0.0006951,0.001119,0.0007023,0.001119,16402.96,18.36
2017-04-03,0.001119,0.001171,0.0005738,0.0005738,721.37,0.4139
2017-04-04,0.0005738,0.00113,0.0005709,0.00113,111196.08,125.69
2017-04-05,0.00113,0.001175,0.0005649,0.001175,75266.81,88.44
2017-04-06,0.001175,0.001236,0.0006419,0.0006538,212488.4,138.92
2017-04-07,0.0006538,0.0008929,0.0006548,0.0008929,199984.69,178.56
2017-04-08,0.0008929,0.001157,0.0008856,0.001157,51384.32,59.46
2017-04-09,0.001157,0.00118,0.001096,0.001096,150000.0,164.39
2017-04-10,0.001096,0.001412,0.001098,0.001279,60591.78,77.5
2017-04-11,0.001279,0.001294,0.001172,0.001172,110.0,0.1289
2017-04-12,0.001172,0.001164,0.0008973,0.0008973,501148.32,449.67
2017-04-13,0.0008973,0.001035,0.0008704,0.000988,152626.58,150.8
2017-04-14,0.000988,0.001142,0.000989,0.001142,333508.77,380.87
2017-04-15,0.001142,0.001142,0.001071,0.001071,333508.77,357.21
2017-04-16,0.001071,0.00113,0.0009414,0.00113,100798.96,113.88
2017-04-17,0.00113,0.001146,0.0009552,0.0009552,11715.59,11.19
2017-04-18,0.0009552,0.000989,0.0009649,0.000989,100000.0,98.9
2017-04-19,0.0007046,0.0007046,0.0007046,0.0007046,861.02,0.6067
2017-04-20,0.0006198,0.0009533,0.0006314,0.0009533,100300.0,95.62
2017-04-21,0.0007046,0.0007047,0.0007046,0.0007047,841.29,0.5928
2017-04-22,0.0003624,0.001018,0.0003599,0.001018,201711.27,205.25
2017-04-23,0.001018,0.001024,0.0006246,0.0006246,165877.57,103.6
2017-04-24,0.0006246,0.002484,0.0006241,0.001785,264513.77,472.13
2017-04-25,0.001785,0.001808,0.0007965,0.001062,336546.62,357.42
2017-04-26,0.001062,0.001081,0.0007977,0.0008878,196709.3,174.63
2017-04-27,0.0008878,0.0009997,0.0008397,0.0009997,249954.57,249.88
2017-04-28,0.0009997,0.00113,0.0009972,0.00113,36864.02,41.66
2017-04-29,0.0007047,0.0007047,0.0007047,0.0007047,0.0,0.0
2017-04-30,0.0007047,0.0007047,0.0007047,0.0007047,0.0,0.0
2017-05-01,0.0007047,0.0007047,0.0007047,0.0007047,0.0,0.0
2017-05-02,0.0007047,0.0007047,0.0007047,0.0007047,0.0,0.0
2017-05-03,0.0007047,0.0007047,0.0007047,0.0007047,0.0,0.0
2017-05-04,0.0007428,0.001213,0.0007584,0.0008797,23483.62,20.66
2017-05-05,0.0007047,0.0007047,7.39e-06,7.39e-06,200.0,0.001478
2017-05-06,0.0007539,0.0008499,0.0007726,0.0008499,189518.52,161.07
2017-05-07,7.39e-06,7.47e-06,7.39e-06,7.47e-06,2954.02,0.02207
2017-05-08,0.001088,0.001165,0.0009155,0.0009155,5454.55,4.993
2017-05-09,0.0009155,0.00129,0.0009336,0.001137,100131.58,113.88
2017-05-10,0.001137,0.001472,0.001174,0.001472,72061.37,106.07
2017-05-11,0.001472,0.001528,0.0009096,0.000946,56357.08,53.32
2017-05-12,0.000946,0.0009107,0.0008769,0.0009107,10000.0,9.107
2017-05-13,0.0009107,0.0009524,0.0008819,0.0008819,5040.4,4.445
2017-05-14,7.47e-06,7.47e-06,7.47e-06,7.47e-06,0.0,0.0
2017-05-15,0.0008863,0.0008715,0.0008374,0.0008374,16816.59,14.08
