# Dataset Report: Monero (XMR)
# Coin Name: Monero
# Symbol: XMR
# Approx Row Count: 4021
# Date Range: 2015-01-26 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_XMR, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_XMR,Volume_USD
2021-10-08,278.34,284.2,275.63,278.22,155191.02,43176700.64
2021-10-09,278.22,283.91,276.1,278.58,161954.93,45117084.82
2021-10-10,278.58,279.3,270.33,270.6,108939.82,29479342.68
2021-10-11,270.6,285.94,266.85,276.91,180616.99,50015413.05
2021-10-12,276.91,282.57,265.44,277.09,170850.22,47340190.78
2021-10-13,277.09,288.51,272.45,274.57,133404.12,36628506.96
2021-10-14,274.57,274.69,265.0,266.78,140038.96,37359269.66
2021-10-15,266.78,290.29,272.09,274.19,202555.09,55538508.67
2021-10-16,274.19,272.31,261.9,267.98,160876.17,43112230.46
2021-10-17,267.98,271.67,260.42,260.85,159039.43,41484972.45
2021-10-18,260.85,263.72,254.67,256.59,142394.82,36537062.62
2021-10-19,256.59,268.58,252.25,255.4,174411.35,44544695.91
2021-10-20,255.4,265.34,258.54,260.39,169668.64,44179491.69
2021-10-21,260.39,273.92,245.65,271.06,224072.27,60736983.33
2021-10-22,271.06,270.21,258.43,266.63,163022.99,43466321.12
2021-10-23,266.63,270.27,264.63,267.63,114581.07,30665519.43
2021-10-24,267.63,294.7,264.94,289.41,197455.61,57144883.25
2021-10-25,289.41,301.63,285.86,287.37,161200.66,46324326.71
2021-10-26,287.37,286.44,273.05,280.53,185890.7,52147588.61
2021-10-27,280.53,272.85,251.05,255.72,146434.4,37446698.7
2021-10-28,255.72,273.47,258.44,267.35,162749.65,43511313.45
2021-10-29,267.35,276.47,266.94,268.62,126888.37,34085315.11
2021-10-30,268.62,268.67,262.17,262.98,120610.66,31718037.66
2021-10-31,262.98,278.83,259.14,274.48,112295.66,30822775.92
2021-11-01,274.48,279.38,268.41,271.09,126302.86,34239881.61
