# Dataset Report: Ink (INK)
# Coin Name: Ink (Legacy 2017 Project)
# Symbol: INK
# Base Currency: BTC
# Date Range: 2017-12-01 to 2026-02-15
# Frequency: Daily
# Note: Creative industry project on Qtum. Not to be confused with Kraken's Ink L2.
# --------------------------------------------------
Date,open,high,low,close,Volume_INK,Volume_BTC
2018-12-18,1.51e-06,1.55e-06,1.41e-06,1.46e-06,334770.25,0.4931
2018-12-19,1.46e-06,1.8e-06,1.41e-06,1.56e-06,369219.13,0.5553
2018-12-20,1.56e-06,1.8e-06,1.41e-06,1.66e-06,321719.33,0.498
2018-12-21,1.66e-06,1.72e-06,1.42e-06,1.56e-06,229709.21,0.3594
2018-12-22,1.56e-06,1.65e-06,1.39e-06,1.56e-06,161860.75,0.2528
2018-12-23,1.56e-06,1.79e-06,1.45e-06,1.63e-06,397814.05,0.6231
2018-12-24,1.63e-06,2.04e-06,1.55e-06,1.93e-06,1506920.78,2.87
2018-12-25,1.93e-06,1.93e-06,1.69e-06,1.78e-06,339714.03,0.6053
2018-12-26,1.78e-06,1.85e-06,1.6e-06,1.69e-06,318563.33,0.5568
2018-12-27,1.69e-06,1.96e-06,1.55e-06,1.78e-06,228612.55,0.3943
2018-12-28,1.78e-06,2e-06,1.61e-06,1.83e-06,179207.57,0.3227
2018-12-29,1.83e-06,2.2e-06,1.62e-06,1.83e-06,288848.04,0.531
2018-12-30,1.83e-06,2.2e-06,1.81e-06,1.86e-06,252725.98,0.5035
2018-12-31,1.86e-06,1.9e-06,1.56e-06,1.76e-06,306570.3,0.5391
2019-01-01,1.76e-06,1.84e-06,1.63e-06,1.75e-06,125223.06,0.2208
2019-01-02,1.75e-06,2.08e-06,1.73e-06,1.75e-06,382574.74,0.7126
2019-01-03,1.75e-06,2e-06,1.71e-06,1.72e-06,300534.48,0.5441
2019-01-04,1.72e-06,1.89e-06,1.56e-06,1.66e-06,203306.49,0.3533
2019-01-05,1.66e-06,1.79e-06,1.48e-06,1.73e-06,246010.01,0.4092
2019-01-06,1.73e-06,1.77e-06,1.29e-06,1.68e-06,205989.87,0.3357
2019-01-07,1.68e-06,2.71e-06,1.41e-06,1.56e-06,19367.67,0.03123
2019-01-08,1.56e-06,1.65e-06,1.56e-06,1.61e-06,142476.12,0.2285
2019-01-09,1.61e-06,4.32e-06,1.54e-06,1.62e-06,177569.17,0.3519
2019-01-10,1.62e-06,1.78e-06,1.58e-06,1.72e-06,259233.14,0.434
2019-01-11,1.72e-06,1.85e-06,1.67e-06,1.8e-06,207148.26,0.359
2019-01-12,1.8e-06,1.98e-06,1.7e-06,1.93e-06,602244.01,1.109
2019-01-13,1.93e-06,2.15e-06,1.88e-06,1.96e-06,420043.62,0.8196
2019-01-14,1.96e-06,2.03e-06,1.67e-06,1.84e-06,389006.93,0.7306
2019-01-15,1.84e-06,6.69e-06,1.51e-06,1.91e-06,843108.4,1.683
2019-01-16,1.91e-06,2.06e-06,1.69e-06,1.88e-06,958098.97,1.862
2019-01-17,1.88e-06,2.19e-06,1.83e-06,1.93e-06,247649.85,0.4761
2019-01-18,1.93e-06,2.05e-06,1.81e-06,1.92e-06,214837.38,0.4147
2019-01-19,1.92e-06,2.25e-06,1.9e-06,1.98e-06,674697.74,1.384
2019-01-20,1.98e-06,2.13e-06,1.97e-06,2.09e-06,199211.58,0.4073
2019-01-21,2.09e-06,2.1e-06,2.05e-06,2.09e-06,120118.79,0.2494
2019-01-22,2.09e-06,2.09e-06,1.94e-06,2.03e-06,143847.78,0.2917
2019-01-23,2.03e-06,2.25e-06,1.96e-06,2.08e-06,292413.64,0.6229
2019-01-24,2.08e-06,2.18e-06,1.86e-06,2.12e-06,125105.39,0.2595
2019-01-25,2.12e-06,2.25e-06,2.08e-06,2.11e-06,140032.76,0.2986
2019-01-26,2.11e-06,2.25e-06,2.11e-06,2.18e-06,138443.16,0.2974
2019-01-27,2.18e-06,2.22e-06,2.1e-06,2.1e-06,130608.25,0.2784
2019-01-28,2.1e-06,4.26e-06,1.89e-06,2.16e-06,544643.08,1.311
2019-01-29,2.16e-06,2.45e-06,2.03e-06,2.09e-06,156122.46,0.3313
2019-01-30,2.09e-06,2.99e-06,1.97e-06,2.05e-06,411456.91,0.8551
