# Dataset Report: Livepeer (LPT)
# Coin Name: Livepeer
# Symbol: LPT
# Approx Row Count: 2595
# Date Range: 2019-01-03 to 2026-02-09
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_LPT, Volume_USD
# Note: Launched May 2018. Decentralized Video Streaming Network.
# --------------------------------------------------
Date,open,high,low,close,Volume_LPT,Volume_USD
2021-10-17,21.61,22.3,19.76,20.22,161623.82,3398057.25
2021-10-18,20.22,38.68,19.77,28.27,1730087.79,49733316.97
2021-10-19,28.27,36.99,26.64,31.2,2802648.73,85185170.43
2021-10-20,31.2,31.57,27.05,27.59,657131.44,18598644.37
2021-10-21,27.59,27.63,25.39,25.52,252790.59,6698412.67
2021-10-22,25.52,26.66,24.96,25.15,133818.38,3454299.45
2021-10-23,25.15,25.54,24.32,24.6,105671.3,2621892.91
2021-10-24,24.6,24.77,23.0,23.31,90421.27,2150626.7
2021-10-25,23.31,26.64,23.17,25.99,245031.21,6247287.08
2021-10-26,25.99,25.99,24.37,24.5,106588.38,2671451.42
2021-10-27,24.5,24.98,22.35,22.48,171971.1,4046134.04
2021-10-28,22.48,24.17,22.38,23.64,91058.53,2109752.57
2021-10-29,23.64,24.39,23.27,23.95,72516.51,1738392.11
2021-10-30,23.95,29.72,23.49,27.98,447353.09,12075939.15
2021-10-31,27.98,37.88,26.45,28.34,768851.29,23843049.71
2021-11-01,28.34,28.34,25.94,26.62,107529.76,2867475.61
2021-11-02,26.62,35.05,26.4,29.78,350743.68,10849292.97
2021-11-03,29.78,33.41,28.3,29.49,210916.3,6426996.15
2021-11-04,29.49,38.49,29.46,34.23,609719.97,20564901.83
2021-11-05,34.23,38.03,32.07,32.39,363102.47,12529668.38
2021-11-06,32.39,33.72,30.87,33.32,103364.48,3357025.65
2021-11-07,33.32,39.55,32.61,36.19,359667.95,12834919.36
2021-11-08,36.19,55.76,34.87,49.15,1328702.15,57633682.76
2021-11-09,49.15,100.99,46.06,72.09,4887260.91,366132609.02
2021-11-10,72.09,82.32,61.0,74.66,2623169.55,182157740.67
2021-11-11,74.66,74.66,61.47,63.37,860574.93,57270719.47
2021-11-12,63.37,64.66,57.11,58.76,287457.32,17397640.02
2021-11-13,58.76,81.7,58.76,68.28,1050575.67,72809901.52
2021-11-14,68.28,69.65,63.05,64.74,290075.39,18894636.65
2021-11-15,64.74,73.27,63.37,65.56,501532.62,34227182.51
2021-11-16,65.56,68.82,58.68,61.19,472138.49,29622496.24
2021-11-17,61.19,62.21,53.91,55.76,329472.98,19100441.69
2021-11-18,55.76,57.52,45.91,47.08,346328.94,17838846.76
2021-11-19,47.08,57.11,46.73,53.7,641074.66,32997421.75
2021-11-20,53.7,54.9,50.58,52.27,202382.23,10742948.07
2021-11-21,52.27,54.93,49.9,50.15,236208.82,12211540.92
2021-11-22,50.15,52.26,47.18,47.56,249117.45,12351678.38
2021-11-23,47.56,53.99,47.22,50.3,270126.63,13514838.58
2021-11-24,50.3,50.52,45.1,46.06,174744.01,8291691.96
2021-11-25,46.06,64.79,45.98,60.5,833747.08,47309820.78
2021-11-26,60.5,70.11,53.31,54.83,730741.42,44247938.67
2021-11-27,54.83,68.83,54.22,59.12,548037.09,34279218.73
2021-11-28,59.12,59.36,51.11,58.05,274755.5,15159138.91
2021-11-29,58.05,58.31,54.13,55.06,140259.19,7869153.09
