# Dataset Report: Siacoin (SC)
# Coin Name: Siacoin
# Symbol: SC
# Approx Row Count: 3824
# Date Range: 2015-08-25 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SC, Volume_USD
# Note: Launched June 2015. Decentralized cloud storage network.
# --------------------------------------------------
Date,open,high,low,close,Volume_SC,Volume_USD
2016-02-09,5.589e-05,6.005e-05,4.504e-05,4.879e-05,853082183.87,41623.24
2016-02-10,4.879e-05,4.964e-05,3.819e-05,4.201e-05,938779748.52,39435.13
2016-02-11,4.201e-05,6.83e-05,3.794e-05,5.312e-05,909947780.49,48339.16
2016-02-12,5.312e-05,0.0001536,5.377e-05,9.601e-05,6802440396.95,653102.3
2016-02-13,9.601e-05,0.0001053,6.242e-05,7.412e-05,1810426227.7,134186.98
2016-02-14,7.412e-05,0.0001095,7.299e-05,0.0001014,752924263.51,76327.7
2016-02-15,0.0001014,0.0001083,8.422e-05,9.626e-05,705585721.31,67917.42
2016-02-16,9.626e-05,0.0001097,8.128e-05,9.348e-05,774899843.42,72435.0
2016-02-17,9.348e-05,9.594e-05,7.091e-05,7.926e-05,380177498.49,30131.58
2016-02-18,7.926e-05,9.692e-05,6.321e-05,8.849e-05,382939527.37,33887.85
2016-02-19,8.849e-05,9.24e-05,7.14e-05,8.4e-05,347696204.47,29205.09
2016-02-20,8.4e-05,8.801e-05,7.481e-05,7.921e-05,259117980.66,20524.94
2016-02-21,7.921e-05,8.32e-05,7.006e-05,7.006e-05,178689349.42,12518.83
2016-02-22,7.006e-05,7.88e-05,7.005e-05,7.88e-05,197789152.07,15586.22
2016-02-23,7.88e-05,7.978e-05,7.138e-05,7.558e-05,207624187.17,15692.65
2016-02-24,7.558e-05,9.3e-05,7.186e-05,8.454e-05,272853809.63,23068.15
2016-02-25,8.454e-05,8.893e-05,7.623e-05,7.623e-05,124779314.15,9511.48
2016-02-26,7.623e-05,8.546e-05,7.692e-05,8.119e-05,168566416.33,13686.04
2016-02-27,8.119e-05,8.626e-05,7.332e-05,7.763e-05,190806225.54,14813.05
2016-02-28,7.763e-05,8.217e-05,6.92e-05,7.784e-05,254637373.9,19822.14
2016-02-29,7.784e-05,8.724e-05,6.979e-05,8.288e-05,349691141.49,28982.37
2016-03-01,8.288e-05,8.247e-05,6.945e-05,7.379e-05,324933833.42,23975.83
2016-03-02,7.379e-05,7.656e-05,6.806e-05,7.231e-05,230639698.14,16677.83
2016-03-03,7.231e-05,8.391e-05,6.713e-05,7.972e-05,241126188.81,19221.71
2016-03-04,7.972e-05,8.19e-05,7.371e-05,7.78e-05,120834478.39,9401.07
2016-03-05,7.78e-05,7.98e-05,7.182e-05,7.581e-05,167148302.83,12671.51
2016-03-06,7.581e-05,0.0001137,7.307e-05,0.0001015,993758472.12,100856.55
2016-03-07,0.0001015,0.0001286,9.127e-05,0.0001037,570958833.47,59218.42
2016-03-08,0.0001037,0.000103,8.65e-05,9.062e-05,228901331.85,20742.58
2016-03-09,9.062e-05,0.0001032,8.668e-05,9.906e-05,176145275.58,17449.37
2016-03-10,9.906e-05,0.0001081,8.732e-05,0.000104,301068714.26,31298.35
2016-03-11,0.000104,0.0001174,0.0001006,0.000109,364102479.98,39675.74
2016-03-12,0.000109,0.0001149,0.0001026,0.0001149,381174280.27,43797.23
2016-03-13,0.0001149,0.0001155,9.485e-05,9.898e-05,157142444.2,15553.71
2016-03-14,9.898e-05,0.0001077,9.529e-05,9.943e-05,114129803.0,11348.43
2016-03-15,9.943e-05,0.0001079,8.718e-05,9.963e-05,182582806.07,18190.94
2016-03-16,9.963e-05,0.0001081,9.566e-05,9.982e-05,133651906.4,13340.92
2016-03-17,9.982e-05,0.0001254,8.781e-05,0.0001171,637197121.66,74606.1
2016-03-18,0.0001171,0.0001633,0.0001061,0.0001184,2176780538.35,257657.68
2016-03-19,0.0001184,0.0001471,0.0001103,0.000139,756854897.83,105168.47
2016-03-20,0.000139,0.0001728,0.0001317,0.0001358,1257033615.35,170711.32
2016-03-21,0.0001358,0.0001562,0.0001274,0.0001316,438699667.52,57713.22
2016-03-22,0.0001316,0.0001415,0.0001207,0.000129,467543043.84,60324.79
2016-03-23,0.000129,0.0001418,0.0001251,0.0001334,223602647.87,29836.11
2016-03-24,0.0001334,0.0001493,0.0001286,0.0001452,469746630.07,68187.95
2016-03-25,0.0001452,0.0001538,0.0001413,0.0001413,273639131.52,38676.54
2016-03-26,0.0001413,0.0001499,0.0001374,0.0001416,135247515.84,19152.86
2016-03-27,0.0001416,0.0001444,0.0001104,0.0001146,727139547.19,83354.84
2016-03-28,0.0001146,0.0001267,0.0001056,0.0001224,190492890.09,23324.12
2016-03-29,0.0001224,0.0001287,0.0001203,0.0001203,118309140.82,14238.51
2016-03-30,0.0001203,0.0001279,0.0001114,0.0001237,295318647.74,36540.37
2016-03-31,0.0001237,0.0001247,0.0001164,0.0001205,144743232.95,17447.55
2016-04-01,0.0001205,0.0001247,0.0001164,0.0001205,135763504.1,16364.34
2016-04-02,0.0001205,0.0001256,0.000113,0.0001172,224395695.22,26295.32
2016-04-03,0.0001172,0.0001215,0.000109,0.0001173,195511305.56,22940.67
2016-04-04,0.0001173,0.0001216,0.000109,0.0001174,99939874.43,11734.18
2016-04-05,0.0001174,0.0001224,0.000114,0.0001224,153542644.8,18793.67
2016-04-06,0.0001224,0.0001222,0.0001053,0.0001095,196101383.97,21478.51
2016-04-07,0.0001095,0.0001134,0.000105,0.000105,146101537.59,15345.78
2016-04-08,0.000105,0.0001086,9.189e-05,0.0001002,281490158.07,28218.15
2016-04-09,0.0001002,0.0001087,9.615e-05,0.0001003,168438663.35,16899.79
2016-04-10,0.0001003,0.0001051,8.825e-05,9.666e-05,298576224.21,28859.63
2016-04-11,9.666e-05,0.0001517,8.85e-05,0.000118,1086636070.38,128223.49
2016-04-12,0.000118,0.0001232,0.0001019,0.0001104,251998010.8,27828.75
2016-04-13,0.0001104,0.0001228,9.74e-05,0.0001143,337524654.4,38591.52
2016-04-14,0.0001143,0.0001272,0.0001102,0.000123,138842417.19,17072.87
2016-04-15,0.000123,0.0001286,0.0001072,0.0001072,210065113.46,22512.15
2016-04-16,0.0001072,0.0001204,0.0001075,0.0001075,63137852.81,6788.11
2016-04-17,0.0001075,0.0001151,0.0001023,0.0001108,111365829.59,12342.41
2016-04-18,0.0001108,0.0001155,0.0001069,0.0001112,57979519.82,6447.29
2016-04-19,0.0001112,0.0001131,0.0001044,0.0001044,103041499.13,10755.55
2016-04-20,0.0001044,0.0001103,0.0001015,0.0001015,151803920.94,15403.06
2016-04-21,0.0001015,0.0001123,8.987e-05,9.885e-05,305423281.37,30192.56
2016-04-22,9.885e-05,0.0001069,9.351e-05,0.0001069,61577873.36,6580.65
