# Dataset Report: Simple Token (OST)
# Coin Name: Simple Token
# Symbol: OST
# Approx Row Count: 2818
# Date Range: 2018-01-18 to 2026-02-15
# Frequency: Daily
# Note: Launched 2017. Tokenization infrastructure (OpenST). Now a legacy asset.
# --------------------------------------------------
Date,open,high,low,close,Volume_OST,Volume_USD
2021-06-01,0.01764,0.0184,0.01627,0.01662,1354083.08,22502.61
2021-06-02,0.01662,0.01895,0.01639,0.01856,1540748.44,28596.29
2021-06-03,0.01856,0.01879,0.01792,0.01835,1557819.6,28585.99
2021-06-04,0.01835,0.01881,0.01607,0.01736,1391143.35,24146.55
2021-06-05,0.01736,0.01827,0.01647,0.01681,1331353.63,22380.05
2021-06-06,0.01681,0.0242,0.01678,0.02007,1405319.52,28204.76
2021-06-07,0.02007,0.022,0.01842,0.01881,1620673.86,30484.88
2021-06-08,0.01881,0.02102,0.01676,0.02011,2184477.13,43930.03
2021-06-09,0.02011,0.02186,0.0179,0.0186,1849718.35,34404.76
2021-06-10,0.0186,0.01966,0.01842,0.01858,1177854.64,21884.54
2021-06-11,0.01858,0.01871,0.0168,0.01683,1069917.52,18006.71
2021-06-12,0.01683,0.01683,0.015,0.01615,1166060.08,18831.87
2021-06-13,0.01615,0.017,0.01502,0.01672,1518533.04,25389.87
2021-06-14,0.01672,0.026,0.01616,0.01732,2352167.81,40739.55
2021-06-15,0.01732,0.01918,0.01678,0.01848,1279205.57,23639.72
2021-06-16,0.01848,0.01879,0.01677,0.01742,1320014.53,22992.35
2021-06-17,0.01742,0.01813,0.0165,0.0166,1145378.39,19013.28
2021-06-18,0.0166,0.017,0.01486,0.01515,1508627.73,22848.36
2021-06-19,0.01515,0.01571,0.01454,0.01543,1606689.21,24783.84
2021-06-20,0.01543,0.01599,0.0144,0.01599,1532358.0,24496.23
2021-06-21,0.01599,0.01616,0.0126,0.01267,1629140.91,20645.55
2021-06-22,0.01267,0.01286,0.009219,0.01115,1954125.74,21790.73
2021-06-23,0.01115,0.01301,0.01091,0.01301,1218301.58,15850.1
2021-06-24,0.01301,0.01351,0.0103,0.01143,2318948.22,26505.58
2021-06-25,0.01143,0.01181,0.007768,0.008508,4009736.62,34116.03
2021-06-26,0.008508,0.008559,0.006456,0.006847,4310721.88,29514.82
2021-06-27,0.006847,0.007317,0.005536,0.006396,4414286.84,28235.5
